"Id","Name","Website","Logo","Description","Founded","FoundersName","FoundersRelatedLocations","TotalRaised","Valuation","ValuationDate","Location","Twitter","Facebook","Instagram","LinkedIn","Medium","Youtube","Email","AngelList","ProductHunt","Phone","FacebookReview","FacebookLikes","FacebookCheckIns","MembersCount","Tags","LastActivity","PrimarySource","CreatedTimeStamp","UpdatedTimeStamp"
"2c379cf0-9a84-4706-b7ff-4a43b662bca2","ABA Cooltrans","http://aba.com.vn/","https://parsers.vc/logo/2c379cf0-9a84-4706-b7ff-4a43b662bca2-1.webp","ABA is the leading service provider in the field of integrated cold chain logistics, servicing customers on a PAN-Vietnam basis.

We own a large fleet of trucks & the warehouse with the aim to build a sole and first standardized integrated cold chain logistics in Vietnam through one window service.

Founded in 2008, ABA now has nearly 10 years of experiences and expertise in operating cold chain logistics activities in Vietnam. We started as a temperature controlled transport provider and has massive expertise in referred transport in Vietnam which is considered the most complicated and important part in cold chain logistics.

In 2016, ABA penetrated into the cold storage business through the acquisition of the biggest cold storage facility in Hanoi with around 15,000 pallet positions. The company is now rapidly evolving towards providing an integrated cold chain logistics service to Vietnam market.
ABA’s transport business is divided into three key business segments: (a) temperature controlled transportation service; (b) delivery service; and (c) distribution service.

ABA’s cold storage provides cold storage service, cross-dock service, and other value-added services.

The products include: pharmaceuticals, meats, fruits and vegetables, dairy products, seeds and agricultural products and other frozen goods.
ABA is committed to provide satisfactory services and form strong and lasting partnerships with our customers through our competitive price policy and mutually beneficial cold chain logistics solutions.","2008","","","","","","Vietnam, Ho Chi Minh, Ho Chi Minh City","https://twitter.com/ABACooltrans","https://www.facebook.com/abacooltrans","","https://www.linkedin.com/company/aba-corporation","","http://www.youtube.com/ABACooltrans","sales@aba.com.vn","","","+84 28 3920 8503","","523","","51-200","Business
E-commerce
FinTech
Logistics
Market
Product
Provider
Service
Storage
Time","8/4/2016 12:00:00 AM","FundWebsite","6/27/2021 4:41:21 PM","12/7/2022 4:12:38 PM"
"23df578c-71f3-48d5-add1-727d1b0768ff","Acuity Trading Ltd","http://acuitytrading.com/","https://parsers.vc/logo/23df578c-71f3-48d5-add1-727d1b0768ff-1.jpg","Acuity Trading is a fintech company. We use big data to quantify & visualise the mood of the market to help traders make investment decisions.","2013","","","","","","United Kingdom, England, London","https://twitter.com/acuitytrading","https://www.facebook.com/acuitytradingltd","","https://www.linkedin.com/company/acuity-trading","","https://www.youtube.com/acuitytrading","info@acuitytrading.com","","","+44 20 8133 0095","","245","","","Broker
Data
E-commerce
FinTech
Investment
Learn
Market
News
Online
Technology","7/9/2024 12:00:00 AM","FundWebsite","8/20/2020 6:21:17 AM","7/12/2024 7:19:48 PM"
"32b84046-27a4-4c31-91e2-83e41150f5f5","Advarra","http://advarra.com/","https://parsers.vc/logo/32b84046-27a4-4c31-91e2-83e41150f5f5-0.webp","Advarra advances the way clinical research is conducted: bringing life sciences companies, CROs, research sites, investigators, and academia together at the intersection of safety, technology, and collaboration. With trusted IRB and IBC review solutions, innovative technologies, experienced consultants, and deep-seated connections across the industry, Advarra provides integrated solutions that safeguard trial participants, empower clinical sites, ensure compliance, and optimize research performance. Advarra is advancing clinical trials to make them safer, smarter, and faster. For more information, visit advarra.com.","1983","","","","","","India, Karnataka, Bengaluru","https://twitter.com/advarra","https://www.facebook.com/Advarra","","https://www.linkedin.com/company/11352981","","","corporatecompliance@advarra.com","","","+1 410-884-2900","","23","","501-1000","Assisted
BioTech
Hardware
Human
Management
MedTech
Provider
Research
Service
Technology","1/25/2024 12:00:00 AM","FundWebsite","6/16/2020 1:11:15 PM","2/19/2024 4:03:40 PM"
"7f533dbf-e9d5-4573-8d94-06c1b3360450","Alantys","http://alantys.com/","https://parsers.vc/logo/7f533dbf-e9d5-4573-8d94-06c1b3360450-4.webp","We help OEMs & EMS with their supply chain issues, giving them access to the best pricing on their regular buys, thanks to our global sourcing network & we help them locate stock, fast! Alantys has been serving the electronic components industry since 2001 and counts with 12 locations worldwide","","","","","","","","https://twitter.com/Alantys","https://www.facebook.com/ALANTYSTechnology","","https://www.linkedin.com/company/alantys-technology","","","info@alantys.com","","","","","","","","Content Distribution
Fast
Industry
Supply","3/10/2024 7:30:13 PM","FundWebsite","3/17/2024 8:59:42 AM","8/16/2024 8:33:49 PM"
"ad20878b-1395-432f-8eb0-aae01db1d7c2","Alesi Surgical","http://alesi-surgical.com/","https://parsers.vc/logo/ad20878b-1395-432f-8eb0-aae01db1d7c2-0.webp","Developer of Ultravision, the revolutionary system that clears surgical smoke from the visual field during laparoscopic surgery","2009","","","6743967","","","","https://twitter.com/AlesiSurgical","","","https://www.linkedin.com/company/asalus-medical-instruments","","https://www.youtube.com/channel/UCF3e1FIg9C0ePM-qDFZx8HA","info@alesi-surgical.com","","","","","","","","Development
EnergyTech
Exchange
Hardware
HealthTech
IT
MedTech
Product
Time
Tools","6/1/2017 12:00:00 AM","FundWebsite","9/17/2020 7:41:35 AM","1/11/2024 2:52:52 AM"
"ad402473-48fe-4dd5-9977-98fad1a510c4","Allegro","http://allegro.pl/","https://parsers.vc/logo/ad402473-48fe-4dd5-9977-98fad1a510c4-0.webp","Allegro - Najlepsze ceny oraz gwarancja bezpiecznych zakupów!","1999","","","","","","Poland, Greater Poland Voivodeship","","","","https://www.linkedin.com/company/allegro-pl","","","","","","","","","","1001-5000","B2C
E-commerce
Marketplace
Online
Platform
Product
Sales
Shop
Technology
Website","10/11/2023 12:00:00 AM","FundWebsite","8/6/2020 1:38:53 PM","1/13/2024 1:49:21 AM"
"9771ff71-74be-44f4-bddc-9b41029110e9","Alvest","http://alvest.fr","https://parsers.vc/logo/9771ff71-74be-44f4-bddc-9b41029110e9-0.webp","Our mission is to provide the highest quality products and services in the aviation and airport ground support equipment industries.","2006","","","","","","","","","","https://www.linkedin.com/company/alvest-international-equity","","","","","","","","","","1001-5000","Aerospace
Content Distribution
Design
Equipment
Industry
Manufacturing
Product
Provider
Sales
Service","9/12/2019 12:00:00 AM","FundWebsite","10/15/2020 6:18:44 PM","6/14/2024 2:06:35 PM"
"57a6ecaf-b1ec-423f-b76f-0afd405856ca","Ample","http://amplemeal.com/","https://parsers.vc/logo/57a6ecaf-b1ec-423f-b76f-0afd405856ca-1.webp","Optimally nutritious meal-in-a-bottle for busy, health-conscious people.

Join our exclusive FB group to talk all things Ample with the dev team and other enthusiasts: https://www.facebook.com/groups/230366454009370/

The only way to feel, perform and live our best everyday is to consume an optimal diet. But as the world gets busier, eating well has become a pipe dream for many. The solution starts with our food.

We believe that the food industry requires a massive leveling up. That health foods should be a direct reflection of proper science. That a constant drive for improvement is necessary to achieve optimal nutrition. And that radical transparency and education are necessary to earn the trust of customers.","2015","","","2000000","","","United States, California, San Francisco","https://twitter.com/amplemeal","https://www.facebook.com/amplemeal","https://www.instagram.com/amplemeal","https://www.linkedin.com/company/ample-foods","","","help@amplemeal.com","https://angel.co/company/ample-3","","+1 800-267-5389","","13272","","11-50","Development
EdTech
Fast
FoodTech
HealthTech
Industry
Life
Science
Website
Wellness","3/4/2024 12:00:00 AM","FundWebsite","6/10/2020 9:53:03 AM","3/7/2024 3:16:35 PM"
"51f24321-52e7-4d01-ba7f-dbbf2374a8aa","Ampogee","http://ampogee.com/","https://parsers.vc/logo/51f24321-52e7-4d01-ba7f-dbbf2374a8aa-4.webp","Ampogee redefines how manufacturers look at performance management. In an industry historically focused myopically on equipment and uptime, we look to the people to drive change. We provide the tools, analytics, and solutions to make change simple and sustainable.

We work closely with our clients to understand and identify their needs, and combine it with our expertise in performance management systems to deliver the perfect performance management solution for their environment.

Our approach utilizes a theory similar to earned value management, applied at a micro level, to understand and track the value of every contribution by every individual in an organization. We've developed the proprietary Amp Engine to make sense of messy work environments, and automatically map the data collected to provide clear insight and direction for leadership.","2015","","","","","","United States, North Carolina, Greensboro","https://twitter.com/getampogee","","","https://www.linkedin.com/company/getampogee","","","info@ampogee.com","","","","","","","1-10","Analytics
Equipment
Industry
IT
Management
Manufacturing
Platform
Productivity
Software
Tools","","FundWebsite","2/25/2021 10:03:36 AM","10/26/2022 5:41:29 AM"
"d759b5fe-5640-475e-81e6-fd4e2493b69a","Apex HCM","http://apexhcm.com/","https://parsers.vc/logo/d759b5fe-5640-475e-81e6-fd4e2493b69a-1.webp","Apex HCM is a market leader in licensing cloud-based payroll, benefits and HR technology for business across the USA.

Over 300 payroll service firms nationally use Apex’s technology as the core of their business foundation.

Our highly customizable and comprehensive suite of products and services include payroll & tax, time & attendance, benefits enrollment, ACA, human resources, mobile apps, reports & analytics, employee onboarding, applicant tracking, and other business management tools normally reserved for large enterprises. Apex HCM’s cutting-edge cloud-based software allows its customers to effectively compete feature-for-feature with larger established firms while dramatically improving their workforce productivity.","2008","","","","","","United States, Georgia, Roswell","https://twitter.com/apexhcm","https://www.facebook.com/apexhcm","https://www.instagram.com/apexhcm","https://www.linkedin.com/company/apexhcm","","https://www.youtube.com/user/ApexPayroll","info@apexhcm.com","","","(877) 750-2739","","418","","51-200","Business
HCM
HR
Human
Market
Product
Service
Software
Technology
Time","1/17/2023 12:00:00 AM","FundWebsite","6/16/2020 12:53:46 PM","3/6/2023 7:20:48 PM"
